timeframe,n_obs,lag_k,market_y,pearson_r,pearson_p,coint_t,coint_p,coint_crit_1pct,coint_crit_5pct,coint_crit_10pct,adf_resid_stat,adf_resid_p,adf_resid_crit_1pct,adf_resid_crit_5pct,adf_resid_crit_10pct,ols_alpha,ols_beta,n_used,sample_start,sample_end,is_cointegrated_coint_p_5pct,is_cointegrated_adf_p_5pct,evidence_any_5pct
1m,989,3,KRW-CBK,-0.29673314210001256,1.4908761106410933e-21,-1.716759023613945,0.669204580312907,-3.9075592653952698,-3.3423213014883046,-3.048745499024734,-1.6673934500167815,0.44798577486509183,-3.4369927443074353,-2.864472756705845,-2.568331546097238,2221.982248417633,-8.931545299192099e-06,987,2025-08-26 12:51:00,2025-08-27 05:36:00,False,False,False
1m,987,5,KRW-CBK,-0.3027999100369716,2.2413751752987904e-22,-1.7054238498536998,0.6744224749206063,-3.907581889495534,-3.3423338741159188,-3.048754217668042,-1.0599580089049483,0.7307733063737799,-3.437123476942836,-2.8645304098119544,-2.568362253987091,2246.747892583062,-9.09118792534236e-06,968,2025-08-26 12:51:00,2025-08-27 05:34:00,False,False,False
1m,982,10,KRW-CBK,-0.31978809562143135,8.715407455423163e-25,-1.6697117476011931,0.6905906216797694,-3.9076388545878316,-3.3423655302220268,-3.0487761699092126,-1.440790949843905,0.5625718459713269,-3.4370471695043037,-2.8644967585264784,-2.5683443301882956,2318.8038251727976,-9.555314924706334e-06,979,2025-08-26 12:51:00,2025-08-27 05:29:00,False,False,False
1m,598,3,KRW-CKB,0.3370714394552135,2.3554842147495876e-17,-1.9747298244568774,0.5416862537867848,-3.914878960015039,-3.346383817103384,-3.0515618192862695,-1.4465989517667897,0.559743544026824,-3.4413510722333087,-2.8663934413235266,-2.5693547658168003,-44.31898815874037,3.3187595147517977e-07,597,2025-08-26 12:51:00,2025-08-27 05:37:00,False,False,False
1m,596,5,KRW-CKB,0.34519124010876623,4.040476076114617e-18,-1.985397718924373,0.5361597263946135,-3.914941256973378,-3.3464183482804883,-3.05158575030012,-1.4605107471787353,0.5529478919652752,-3.441388211993052,-2.8664097967491498,-2.569363480686392,-45.40132676530667,3.388397933451175e-07,595,2025-08-26 12:51:00,2025-08-27 05:35:00,False,False,False
1m,591,10,KRW-CKB,0.3645032543169072,5.2145209148298275e-20,-1.971630005822202,0.543289972752719,-3.915098856650388,-3.346505702384372,-3.051646288422867,-1.4677866786788438,0.5493823941926929,-3.4414821678603946,-2.8664511716874657,-2.5693855271473716,-47.948954216998814,3.5523207755679266e-07,590,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1h,500,3,KRW-ETH,0.027925641486917847,0.5332878441423619,-1.0763449368347415,0.8873848224600924,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.303914520926658,0.1707085687150524,-3.4435228622952065,-2.867349510566146,-2.569864247011056,5455150.237617463,0.0037366436886332455,499,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
1h,500,5,KRW-ETH,0.029874002482402275,0.5051044480610158,-1.185076561842661,0.8617654327182751,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.3040778127797235,0.1706561685474579,-3.4435228622952065,-2.867349510566146,-2.569864247011056,5409083.216368556,0.0040221548185821465,499,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
1h,500,10,KRW-ETH,0.03738367272803231,0.4042112736426848,-0.8333003937340885,0.9301848654518612,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.288542321338709,0.1756899330075336,-3.4435228622952065,-2.867349510566146,-2.569864247011056,5236519.607660979,0.0050921382540251026,499,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1h,500,3,KRW-XRP,0.6196723620527571,2.3240323370873526e-54,-1.2412506452690737,0.846765710706466,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.101029469873276,0.24410084803961363,-3.4436840273842058,-2.8674204319994674,-2.5699020441557052,-1048.861841952501,3.3029423957780624e-05,493,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
